OriginalTweet,Sentiment,processed tweet,AMR
low oil prices to hit economy but changes undertaken since 2014 crisis should help weather the current difficulties spoke to about reforms undertaken since that will help mitigate the impact,Negative,"The economy will be hit hard by low oil prices, but the reforms undertaken since the 2014 crisis should help weather the current difficulties.","(m / multi-sentence
      :snt1 (c / contrast-01
            :ARG1 (h / hit-01
                  :ARG0 (p / price-01
                        :ARG1 (o / oil)
                        :ARG1-of (l / low-04))
                  :ARG1 (e / economy))
            :ARG2 (r / recommend-01
                  :ARG1 (h2 / help-01
                        :ARG0 (c2 / change-01
                              :ARG1-of (u / undertake-01
                                    :time (s / since
                                          :op1 (c3 / crisis
                                                :time (d / date-entity
                                                      :year 2014)))))
                        :ARG1 (w / weather-01
                              :ARG1 (d2 / difficulty
                                    :time (c4 / current))))))
      :snt2 (s2 / speak-01
            :ARG1 (r2 / reform-01
                  :ARG1-of (u2 / undertake-01
                        :time (s3 / since
                              :op1 (t / that)))
                  :ARG0-of (h3 / help-01
                        :ARG1 (m2 / mitigate-01
                              :ARG1 (ii / impact-01))))))"
"The world could soon run out of space to store #oil. That may plunge prices below zero. This is not good.
#COVID19 #coronavirus #reality 
https://t.co/2eM7GBfMzG",Negative,"The world could soon run out of space to store oil, which may plunge prices below zero. This is not good.","(m / multi-sentence
      :snt1 (p / possible-01
            :ARG1 (r / run-out-05
                  :ARG1 (s / space
                        :purpose (s2 / store-01
                              :ARG0 (w / world)
                              :ARG1 (o / oil)))
                  :ARG2 w
                  :time (s3 / soon)))
      :snt2 m
      :snt3 (p2 / possible-01
            :ARG1 (p3 / plunge-01
                  :ARG0 (t / that)
                  :ARG1 (p4 / price-01)
                  :ARG4 (b / below
                        :op1 (z / zero))))
      :snt4 (g / good-02
            :polarity -
            :ARG1 (t2 / this)))"
"Need to stock up the fridge coz this covid-19 is making me panicky. (@ Robinsons Supermarket in Bacolod City, Negros Occidental) https://t.co/1Fxt4v7q6N",Negative,I need to stock up on food because I am feeling panicked about the coronavirus.,"(m / multi-sentence
      :snt1 (n / need-01
            :ARG0 (ii / i)
            :ARG1 (s / stock-up-02
                  :ARG0 ii
                  :ARG1 (f / fridge))
            :ARG1-of (c / cause-01
                  :ARG0 (m2 / make-02
                        :ARG0 (p / product
                              :name (n2 / name
                                    :op1 ""Covid-19"")
                              :mod (t / this))
                        :ARG1 (p2 / panicky
                              :domain ii))))
      :snt2 (s2 / supermarket
            :name (n3 / name
                  :op1 ""Robinsons""
                  :op2 ""Supermarket"")
            :location (c2 / city
                  :name (n4 / name
                        :op1 ""Bacolod"")
                  :part-of (p3 / province
                        :name (n5 / name
                              :op1 ""Negros""
                              :op2 ""Occidental""))))
      :medium (u / url-entity
            :value ""https://t.co/1Fxt4v7q6N""))"
It went from Cuffing season to Coughing season real quick. Ain't nobody trying to cuddle now. Girls are deleting their Miami pics and posting photos of the grocery store like #TakeMeBack #coronavirus,Positive,It went from Cuffing season to Coughing season real quick. Ain't nobody trying to cuddle now. Girls are deleting their Miami pics and posting photos of the grocery store like #TakeMeBack #coronavirusCuffing season has turned into coughing season,"(m / multi-sentence
      :snt1 (g / go-01
            :ARG1 (ii / it)
            :ARG3 (s / season
                  :mod (c / cuff-01))
            :ARG4 (s2 / season
                  :mod (c2 / cough-01))
            :ARG1-of (q / quick-02
                  :degree (v / very)))
      :snt2 (t / try-01
            :polarity -
            :ARG0 (n / nobody)
            :ARG1 (c3 / cuddle-01
                  :ARG0 n)
            :time (n2 / now))
      :snt3 (a / and
            :op1 (d / delete-01
                  :ARG0 (g2 / girl)
                  :ARG1 (p / pic
                        :poss g2
                        :location (c4 / city
                              :name (n3 / name
                                    :op1 ""Miami""))))
            :op2 (p2 / post-01
                  :ARG0 g2
                  :ARG1 (p3 / photo
                        :topic (s3 / store
                              :mod (g3 / grocery))
                        :example a
                        :op1 (s4 / string-entity
                              :value ""TakeMeBack"")
                        :op2 (s5 / string-entity
                              :value ""coronavirus"")))))"
I don't know what's more frustrating rn. Working in a grocery store during #Covid_19 or listening to my coworkers talk about COVID-19.,Negative,I don't know what's more frustrating: working in a grocery store during #Covid_19 or listening to my coworkers talk about COVID-19.,"(m / multi-sentence
      :snt1 (k / know-01
            :polarity -
            :ARG0 (ii / i)
            :ARG1 (t / thing
                  :ARG0-of (f / frustrate-01
                        :ARG2-of (h / have-degree-91
                              :ARG1 t
                              :ARG3 (m2 / more)))))
      :snt2 (o / or
            :op1 (w / work-01
                  :ARG0 (ii2 / i)
                  :ARG2 (s / store
                        :mod (g / grocery))
                  :time (e / event
                        :name (n / name
                              :op1 ""Covid_19"")))
            :op2 (l / listen-01
                  :ARG0 ii2
                  :ARG1 (t2 / talk-01
                        :ARG0 (p / person
                              :ARG0-of w
                              :ARG2 ii2)
                        :ARG1-of (c / coworker-01
                              :ARG2 ii2))
                  :ARG1 (t3 / thing
                        :name n
                        :op1 ""COVID-19""))))"
I'm in a mega supermarket queue for my family weekly shop. I can skip the queue as a #keyworker but I dont need to so I wont. My colleagues on shifts however do and that's what it's there for. #StayHomeSaveLives https://t.co/x4nldqbdLk,Neutral,"I don't need to skip the queue at the supermarket as a key worker, but my colleagues on shifts do and that's what it's there for.","(m / multi-sentence
      :snt1 (b / be-located-at-91
            :ARG1 (ii / i)
            :ARG2 (q / queue-01
                  :ARG1 ii
                  :ARG2 (s / shop-01
                        :ARG0 ii
                        :ARG3 (f / family
                              :ARG1-of (h / have-org-role-91
                                    :ARG0 ii
                                    :ARG2 (m2 / member)))
                        :frequency (r / rate-entity-91
                              :ARG3 (t / temporal-quantity
                                    :quant 1
                                    :unit (w / week))))
                  :mod (s2 / supermarket
                        :mod (m3 / mega))))
      :snt2 (c / contrast-01
            :ARG1 (p / possible-01
                  :ARG1 (s3 / skip-01
                        :ARG0 (ii2 / i)
                        :ARG1 (q2 / queue-01)
                        :ARG1-of (c2 / cause-01
                              :ARG0 (p2 / person
                                    :ARG0-of (w2 / work-01
                                          :ARG2 (k / key))))))
            :ARG2 (a / and
                  :op1 (n / need-01
                        :polarity -
                        :ARG0 ii2
                        :ARG1 (s4 / skip-01
                              :ARG0 ii2
                              :ARG1 q2)
                        :ARG0-of (c3 / cause-01
                              :ARG1 s4))
                  :op2 (h2 / have-purpose-91
                        :ARG1 b
                        :ARG1 (p3 / person
                              :ARG0-of w2
                              :ARG2 (s5 / shift))
                        :poss ii2)
                  :ARG2 q2)
            :ARG2 s4)
      :snt3 (u / url-entity
            :value ""StayHomeSaveLives""
            :snt4-of m)
      :value ""https://t.co/x4nldqbdLk"")"
"I was a full-time student for most of 2018. Very little income there. In 2019, after not finding employment in the industry I just finished school for, I finally took a retail job. Now the store closed due to COVID-19

#BailOutPeopleNotCorporations",Neutral,"I was a full-time student for most of 2018 and had very little income. In 2019, after not finding employment in the industry I just finished school for, I finally took a retail job. Now the store has closed due to COVID-19.","(m / multi-sentence
      :snt1 (p / person
            :ARG0-of (s / study-01
                  :mod (f / full-time)
                  :duration (m2 / most
                        :ARG3-of (ii / include-91
                              :ARG2 (d / date-entity
                                    :year 2018))))
            :domain (ii2 / i))
      :snt2 (t / take-01
            :ARG0 (ii3 / i)
            :ARG1 (j / job
                  :mod (r / retail-01))
            :time (f2 / final)
            :time (a / after
                  :op1 (f3 / find-01
                        :polarity -
                        :ARG0 ii3
                        :ARG1 (e / employ-01
                              :ARG1 ii3
                              :ARG2 (ii4 / industry
                                    :ARG2-of (f4 / finish-01
                                          :ARG0 ii3
                                          :ARG1 (s2 / school)
                                          :mod (j2 / just))))))
            :source (ii5 / income
                  :quant (l / little
                        :degree (v / very))
                  :location (t2 / there)))
      :snt3 (c / close-01
            :ARG1 (s3 / store)
            :time (n / now)
            :ARG1-of (c2 / cause-01
                  :ARG0 (l2 / law
                        :name (n2 / name
                              :op1 ""COVID-19,"")
                        :ARG1-of (m3 / mean-01
                              :ARG2 (p2 / political-movement
                                    :name n2
                                    :op1 ""Bail-out""
                                    :op2 ""People""
                                    :op3 ""Not""
                                    :op4 ""Corporations""))))))"
"As the impact of the coronavirus continues to grow, the Fijian Competition and Consumer Commission is on high alert for any fraud that may arise. 
#FBCNews #FijiNews #Fiji  
More: https://t.co/3S2U9K0BLS https://t.co/SzdqR5Fvfo",Negative,The Fijian Competition and Consumer Commission is on high alert for any fraud that may arise as the impact of the coronavirus continues to grow.,"(m / multi-sentence
      :snt1 (c / cause-01
            :ARG0 (c2 / continue-01
                  :ARG1 (g / grow-01
                        :ARG1 (ii / impact-01
                              :ARG0 (c3 / coronavirus))))
            :ARG1 (a / alert-01
                  :ARG1 (g2 / government-organization
                        :name (n / name
                              :op1 ""Fijian""
                              :op2 ""Competition""
                              :op3 ""and""
                              :op4 ""Consumer""
                              :op5 ""Commission""))
                  :ARG2 (d / defraud-01
                        :mod (a2 / any)
                        :ARG1-of (a3 / arise-02
                              :ARG1-of (p / possible-01)))
                  :ARG1-of (h / high-02)))
      :snt2 (a4 / and
            :op1 (p2 / publication
                  :name (n2 / name
                        :op1 ""FBCNews""))
            :op2 (p3 / publication
                  :name (n3 / name
                        :op1 ""FijiNews""))
            :op3 (p4 / publication
                  :name (n4 / name
                        :op1 ""YouTube"")))
      :snt3 (m2 / more
            :medium (u / url-entity
                  :value ""https://t.co/3S2U9K0BLS"")))"
"Today's @HalifaxMagazine #COVID19 roundup: when home is unsafe, Stanfield's steps up, filling the shelves, and consumer advice. With reports from @Advocate1891 sister publications @StraitReporter, @PictouAdvocate, and @TruroHubNow. https://t.co/AB95Jcpt5M",Neutral,"Today's Halifax Magazine COVID-19 roundup includes reports from the Strait Reporter, Pictou Advocate, and Truro Hub Now on how Stanfield's is stepping up to fill the shelves and provide consumer advice when home is unsafe.","(m / multi-sentence
      :snt1 (r / round-up-02
            :ARG0 (m2 / magazine
                  :name (n / name
                        :op1 ""HalifaxMagazine""))
            :ARG1 (p / publication
                  :name (n2 / name
                        :op1 ""COVID19""))
            :time (t / today)
            :topic (b / be-temporally-at-91
                  :ARG1 (a / and
                        :op1 (s / step-01
                              :ARG0 (p2 / person
                                    :name (n3 / name
                                          :op1 ""Stanfield""))
                              :direction (u / up))
                        :op2 (f / fill-01
                              :ARG0 p2
                              :ARG1 (s2 / shelf))
                        :op3 (a2 / advise-01
                              :ARG1 (p3 / person
                                    :ARG0-of (c / consume-01))))))
      :snt2 (r2 / report-01
            :source (a3 / and
                  :op1 (p4 / publication
                        :name (n4 / name
                              :op1 ""Advocate1891""))
                  :op2 (p5 / publication
                        :name (n5 / name
                              :op1 ""StraitReporter""))
                  :op3 (p6 / publication
                        :name (n6 / name
                              :op1 ""PictouAdvocate""))
                  :op4 (p7 / publication
                        :name (n7 / name
                              :op1 ""TruroHubNow""))
                  :ARG0-of (h / have-rel-role-91
                        :ARG1 p
                        :ARG2 (s3 / sister)))))"
"Just seen a #supermarket in #italy on the news and they put the #panicbuying in the UK to shame! Please please calm down people you are really making it difficult. I'm down to two pints of milk ,no bread and a few bits in the freezer! #Convid19uk #coronavirus #panicbuyinguk",Negative,"I just saw a supermarket in Italy on the news and they are putting the panic buying in the UK to shame. Please please calm down people, you are really making it difficult. I'm down to two pints of milk, no bread, and a few bits in the freezer.","(m / multi-sentence
      :snt1 (a / and
            :op1 (s / see-01
                  :ARG0 (ii / i)
                  :ARG1 (s2 / supermarket
                        :location (c / country
                              :name (n / name
                                    :op1 ""Italy"")))
                  :time (j / just)
                  :medium (n2 / news))
            :op2 (s3 / shame-02
                  :ARG0 s2
                  :ARG1 (p / panic-01
                        :location (c2 / country
                              :name (n3 / name
                                    :op1 ""UK"")))))
      :snt2 (c3 / calm-down-02
            :polite +
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (p2 / person)
            :ARG1-of (c4 / cause-01
                  :ARG0 (m2 / make-02
                        :ARG0 y
                        :ARG1 (d / difficult
                              :domain (ii2 / it))
                        :ARG1-of (r / real-04))))
      :snt3 (d2 / down-03
            :ARG1 (ii3 / i)
            :ARG2 (a2 / and
                  :op1 (m3 / milk
                        :quant (v / volume-quantity
                              :quant 2
                              :unit (p3 / pint)))
                  :op2 (b / bread
                        :polarity -)
                  :op3 (b2 / bit
                        :quant (f / few)
                        :location (f2 / freezer))))
      :snt4 (p4 / publication
            :name (n4 / name
                  :op1 ""Convid19uk""))
      :snt5 (v2 / virus
            :mod (c5 / coronavirus))
      :snt6 (p5 / panic-01
            :location c2))"
"This supermarket has a creative way to combat hoarding...
https://t.co/iqXyQPb1n8 #Covid_19",Positive,  supermarket has a creative way to combat hoarding during the Covid-19 pandemic.,"(h / have-03
      :ARG0 (s / supermarket
            :mod (t / this))
      :ARG1 (w / way
            :mod (c / creative)
            :instrument-of (c2 / combat-01
                  :ARG1 (h2 / hoard-01)))
      :ARG1-of (d / describe-01
            :ARG0 (p / publication
                  :name (n / name
                        :op1 ""https://t.co/iqXyQPb1n8 #Covid_19""))))"
"IÂm not making light of the situation
Sometimes humor is a good coping mechanism
Went to the supermarket today 
They told me to wear a mask and gloves 
Thought that was enough
They lied
Everybody else was wearing clothes.
#Covid_19 
#CoronavirusOutbreak 
#CoronavirusPandemic",Positive,"I'm not making light of the situation, but sometimes humor is a good coping mechanism.","(m / multi-sentence
      :snt1 (m2 / make-light-11
            :polarity -
            :ARG0 (ii / i)
            :ARG1 (s / situation))
      :snt2 (m3 / mechanism
            :instrument-of (c / cope-01)
            :domain (h / humor)
            :ARG1-of (g / good-02)
            :frequency (s2 / sometimes))
      :snt3 (g2 / go-02
            :ARG0 (ii2 / i)
            :ARG4 (s3 / supermarket)
            :time (t / today))
      :snt4 (t2 / tell-01
            :ARG0 (t3 / they)
            :ARG1 (w / wear-01
                  :ARG0 ii2
                  :ARG1 (a / and
                        :op1 (m4 / mask)
                        :op2 (g3 / glove)))
            :ARG2 ii2
            :ARG1-of (r / request-confirmation-91))
      :snt5 (t4 / think-01
            :ARG0 (ii3 / i)
            :ARG1 (h2 / have-quant-91
                  :ARG1 (t5 / that)
                  :ARG3 (e / enough)))
      :snt6 (l / lie-08
            :ARG0 (t6 / they))
      :snt7 (w2 / wear-01
            :ARG0 (e2 / everybody
                  :mod (e3 / else))
            :ARG1 (c2 / clothes)))"
"We are taking quick action to stop price gouging.

Today, we issued more than 40 subpoenas to 3rd-party vendors jacking up prices on essential commodities covered under the COVID-19 state of emergency. The prices of some products increased over 1,160%!

https://t.co/Ui6nsbRCHX",Neutral,"— NY AG James (@NewYorkStateAG) March 20, 2020We are taking quick action to stop price gouging by issuing more than 40 subpoenas to 3rd-party vendors.","(m / multi-sentence
      :snt1 (a / act-02
            :ARG0 (w / we)
            :ARG1-of (q / quick-02)
            :purpose (s / stop-01
                  :ARG0 w
                  :ARG1 (g / gouge-02
                        :ARG2 (t / thing
                              :ARG2-of (p / price-01)))))
      :snt2 (c / cause-01
            :ARG0 (ii / issue-01
                  :ARG0 (w2 / we)
                  :ARG1 (s2 / subpoena-01
                        :ARG1 (c2 / company
                              :ARG0-of (v / vend-01)
                              :mod (t2 / third-party)
                              :ARG0-of (j / jack-up-02
                                    :ARG1 (t3 / thing
                                          :ARG2-of (p2 / price-01
                                                :ARG1 (c3 / commodity
                                                      :mod (e / essential)
                                                      :ARG1-of (c4 / cover-01
                                                            :ARG0 (l / law
                                                                  :name (n / name
                                                                        :op1 ""COVID-19"")
                                                                  :topic (e2 / emergency)))))))
                              :quant (m2 / more-than
                                    :op1 40)))
                  :ARG2 c2
                  :time (t4 / today))
            :snt3 (ii2 / increase-01
                  :ARG1 (t5 / thing
                        :ARG2-of (p3 / price-01
                              :ARG1 (p4 / product
                                    :quant (s3 / some))))
                  :ARG2 (o / over
                        :op1 (p5 / percentage-entity
                              :value 12160)))
            :snt4 (h / hyperlink-91
                  :ARG3 (u / url-entity
                        :value ""https://t.co/Ui6nsbRCHX""))))"
"@ImranKhanPTI  V  respect ur concern 4 poor class bt once this #CoronaVirus outbreaks thn it will not be possible to control as it happened in Italy.
I think u shd go for complete lock down  for 2 weeks with these things:
1. No utility bills less thn ",Negative," Rs 20002. No rent3. Food 4 allI respect your concern for the poor class, but once this #CoronaVirus outbreak happens, it will not be possible to control it as it happened in Italy. I think you should go for a","(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (ii / i)
            :ARG1 (r / respect-01
                  :ARG0 ii
                  :ARG1 (c / concern-01
                        :ARG1 (p / person
                              :quant 4
                              :mod (c2 / class
                                    :mod (p2 / poor)))))
            :ARG2 p
            :name (n / name
                  :op1 ""ImranKhanPTI""))
      :snt2 (p3 / possible-01
            :polarity -
            :ARG1 (c3 / control-01
                  :ARG1 (b / break-out-30
                        :ARG1 (v / virus
                              :mod (t / this))
                        :location (c4 / city
                              :name (n2 / name
                                    :op1 ""Corona""))))
            :condition (b2 / be-located-at-91
                  :ARG1 b
                  :ARG2 (c5 / country
                        :name (n3 / name
                              :op1 ""Italy""))))
      :snt3 (t2 / think-01
            :ARG0 (ii2 / i)
            :ARG1 (g / go-03
                  :ARG0 (y / you)
                  :ARG1 (l / lock-down-05
                        :ARG1 y
                        :ARG1-of (c6 / complete-02)
                        :duration (t3 / temporal-quantity
                              :quant 2
                              :unit (w / week))
                        :instrument (t4 / thing
                              :mod (t5 / this)))))
      :snt4 (h / have-quant-91
            :ARG1 (m2 / monetary-quantity
                  :ARG1-of (b3 / bill-01
                        :ARG3 (u / utility)))
            :ARG3 (l2 / less)
            :ARG4 (t6 / this)))"
LATEST PM struggles to recover from the Noon prices 1 4 29 38 363 Watch out for 19 Prices at 12 30pm GMT 11 on Mitrade PC Bloomberg,Negative,The latest PM struggles to recover from the noon prices. Watch out for prices at 12:30pm GMT on Mitrade PC Bloomberg.,"(m / multi-sentence
      :snt1 (s / struggle-02
            :ARG0 (n / newspaper
                  :name (n2 / name
                        :op1 ""LATEST""
                        :op2 ""PM""))
            :ARG1 (r / recover-01
                  :ARG1 n
                  :ARG2 (p / price-01
                        :time (d / date-entity
                              :time ""12:30""
                              :timezone ""GMT""))))
      :snt2 (w / watch-out-02
            :ARG1 (p2 / price-01
                  :quant 19
                  :time (d2 / date-entity
                        :time ""11:30""
                        :timezone ""GMT"")
                  :medium (p3 / product
                        :name (n3 / name
                              :op1 ""Mitrade""
                              :op2 ""PC""
                              :op3 ""Bloomberg"")))))"
"@mygovindia Today just after a week of lockdown lot of confectionary stores are running out of stock, how will be the seen if lockdown increased because of COVID-19 community spread, specially in B &amp; C class city. Emergency Supply chain need to be pla",Negative,"Today, after only one week of lockdown, many confectionary stores are running out of stock. If the lockdown is increased due to COVID-19 community spread, especially in B & C class cities, the emergency supply chain will need to be planned.","(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (ii / i)
            :ARG1 (r / run-out-05
                  :ARG1 (s2 / stock-01
                        :ARG0 (s3 / store
                              :mod (c / confectionary)
                              :quant (l / lot)
                              :ARG2-of r))
                  :time (t / today)
                  :time (a / after
                        :op1 (l2 / lock-down-06
                              :duration (t2 / temporal-quantity
                                    :quant 1
                                    :unit (w / week)))
                        :mod (j / just)))
            :ARG2 (p / person
                  :name (n / name
                        :op1 ""mygovindia"")))
      :snt2 (h / have-condition-91
            :ARG1 (s4 / see-01
                  :ARG1 (a2 / amr-unknown))
            :ARG2 (ii2 / increase-01
                  :ARG1 l2
                  :ARG1-of (c2 / cause-01
                        :ARG0 (s5 / spread-02
                              :ARG0 (l3 / law
                                    :name (n2 / name
                                          :op1 ""COVID-19""))
                              :ARG1 (c3 / community)
                              :location (c4 / city
                                    :mod (c5 / class
                                          :mod (s6 / slash
                                                :op1 (s7 / string-entity
                                                      :value ""B"")
                                                :op2 (s8 / string-entity
                                                      :value ""C"")))
                                    :ARG1-of (s9 / special-02))))))
      :snt3 (n3 / need-01
            :ARG1 (p2 / publicize-01
                  :ARG1 (c6 / chain
                        :mod (s10 / supply-01
                              :mod (e / emergency))))))"
"@babsy1234 Hi there! Starting on March 19th, to assist those working from home during the COVID-19 situation, we will be providing our consumer and small business customers with Turbo Hubs, Turbo Sticks and MiFi devices an extra 10 GB of domestic usage an",Neutral," month at no additional chargeHi there! Starting on March 19th, to assist those working from home during the COVID-19 situation, we will be providing our consumer and small business customers with Turbo Hubs, Turbo Sticks and MiFi devices an extra 10 GB of domestic usage per","(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (ii / i)
            :ARG1 (h / hi)
            :ARG2 (p / person
                  :name (n / name
                        :op1 ""babsy1234""))
            :location (t / there))
      :snt2 (s2 / start-01
            :ARG0 (w / we)
            :ARG1 (p2 / provide-01
                  :ARG0 w
                  :ARG1 (a / and
                        :op1 (p3 / product
                              :name (n2 / name
                                    :op1 ""Turbo""
                                    :op2 ""Hubs""))
                        :op2 (p4 / product
                              :name (n3 / name
                                    :op1 ""Turbo""
                                    :op2 ""Sticks""))
                        :op3 (d / device
                              :name (n4 / name
                                    :op1 ""MiFi"")))
                  :ARG2 (a2 / and
                        :op1 (p5 / person
                              :ARG0-of (c / consume-01)
                              :ARG0-of (h2 / have-rel-role-91
                                    :ARG1 w
                                    :ARG2 (c2 / customer)))
                        :op2 (p6 / person
                              :ARG0-of (h3 / have-rel-role-91
                                    :ARG1 w
                                    :ARG2 (c3 / customer
                                          :mod (b / business
                                                :mod (s3 / small))))))
                  :purpose (a3 / assist-01
                        :ARG0 w
                        :ARG1 (p7 / person
                              :ARG0-of (w2 / work-01
                                    :location (h4 / home)))
                        :time (s4 / situation
                              :name (n5 / name
                                    :op1 ""COVID-19""))))
            :time (d2 / date-entity
                  :month 3
                  :day 19)))"
"What is Universal Basic Income, if you cannot get an at-home testing kit for COVID-19, toilet paper, etc. Will the consumer economy be triggered by consumers?",Neutral,"What is Universal Basic Income, and how will the consumer economy be triggered by consumers if they cannot get an at-home testing kit for COVID-19, toilet paper, etc.?","(m / multi-sentence
      :snt1 (h / have-condition-91
            :ARG1 (ii / income
                  :mod (b / basic)
                  :domain (a / amr-unknown)
                  :mod (u / universal))
            :ARG2 (p / possible-01
                  :polarity -
                  :ARG1 (g / get-01
                        :ARG0 (y / you)
                        :ARG1 (k / kit
                              :purpose (t / test-01
                                    :ARG1 (a2 / and
                                          :op1 (p2 / product
                                                :name (n / name
                                                      :op1 ""COVID-19""))
                                          :op2 (p3 / paper
                                                :purpose (t2 / toilet))
                                          :op3 (e / et-cetera)))
                              :location (h2 / home)))))
      :snt2 (t3 / trigger-01
            :ARG0 (p4 / person
                  :ARG0-of (c / consume-01))
            :ARG1 (e2 / economy
                  :mod p4
                  :ARG0-of (c2 / consume-01)))
      :polarity (a3 / amr-unknown))"
@dangerfield35 @HabgoodAaron @ReelAdventures_ @1116sen Unless you are fishing from a jetty its quite easy to find a spot with nobody near you. People are less likely to pass on the Covid 19 when fishing than they are going to the Supermarket ( which is es,Positive,ential).It is quite easy to find a spot with nobody near you unless you are fishing from a jetty. People are less likely to pass on the Covid 19 when fishing than they are going to the Supermarket (which is essential).,"(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""dangerfield35""))
            :ARG2 (p2 / person
                  :name (n2 / name
                        :op1 ""HabgoodAaron""))
            :ARG3 (p3 / person
                  :name (n3 / name
                        :op1 ""ReelAdventures_""))
            :ARG4 (p4 / person
                  :name (n4 / name
                        :op1 ""1116sen"")))
      :snt2 (e / easy-05
            :ARG1 (f / find-01
                  :ARG1 (s2 / spot
                        :location-of (n5 / nobody
                              :ARG1-of (n6 / near-02
                                    :ARG2 (y / you)))))
            :degree (q / quite)
            :condition (f2 / fish-01
                  :ARG0 y
                  :source (j / jetty)))
      :snt3 (l / likely-01
            :ARG1 (p5 / pass-on-19
                  :ARG0 (p6 / person)
                  :ARG1 (c / car-make
                        :name (n7 / name
                              :op1 ""Covid""
                              :op2 19))
                  :time (f3 / fish-01
                        :ARG0 p6))
            :ARG2-of (h / have-degree-91
                  :ARG1 p5
                  :ARG3 (l2 / less)
                  :ARG4 (g / go-02
                        :ARG0 (p7 / person)
                        :ARG4 (s3 / supermarket)))))"
"These local distilleries and breweries are filling the void, offering wine and liquor delivery and pickup orders. https://t.co/xnWxLybbwf",Neutral,These local distilleries and breweries are filling the void by offering wine and liquor delivery and pickup orders.,"(f / fill-01
      :ARG0 (a / and
            :op1 (d / distiller)
            :op2 (b / brewery)
            :ARG1-of (l / local-02)
            :mod (t / this))
      :ARG1 (v / void)
      :manner (o / offer-01
            :ARG0 a
            :ARG1 (a2 / and
                  :op1 (d2 / deliver-01
                        :ARG0 a
                        :ARG1 (a3 / and
                              :op1 (w / wine)
                              :op2 (l2 / liquor)))
                  :op2 (p / pick-up-04
                        :ARG0 a
                        :ARG1 a3)))
      :medium (u / url-entity
            :value ""https://t.co/xnWxLybbwf""))"
"#Dubai Economy has reiterated that the stock of food and non-food commodities across outlets in Dubai is sufficient to meet the requirements of residents in the near to longer term. #UAE 
#COVID19 #coronavirus 
https://t.co/RLaiqQIaaQ",Neutral,The Dubai Economy has reiterated that the stock of food and non-food commodities across outlets in Dubai is sufficient to meet the requirements of residents in the near to longer term.,"(m / multi-sentence
      :snt1 (r / reiterate-01
            :ARG0 (o / organization
                  :name (n / name
                        :op1 ""Dubai""
                        :op2 ""Economy""))
            :ARG1 (s / suffice-01
                  :ARG0 (s2 / stock-01
                        :ARG1 (a / and
                              :op1 (c / commodity
                                    :mod (f / food))
                              :op2 (c2 / commodity
                                    :mod (f2 / food
                                          :polarity -)))
                        :location (a2 / across
                              :op1 (o2 / outlet
                                    :location (c3 / city
                                          :name (n2 / name
                                                :op1 ""Dubai"")))))
                  :ARG1 (m2 / meet-01
                        :ARG0 s2
                        :ARG1 (r2 / require-01
                              :ARG0 (p / person
                                    :ARG0-of (r3 / reside-01)))
                        :time (t / term
                              :ARG1-of (n3 / near-02)
                              :ARG1-of (h / have-degree-91
                                    :ARG2 (l / long-03
                                          :ARG1 t)
                                    :ARG3 (m3 / more))))))
      :snt2 (c4 / country
            :name (n4 / name
                  :op1 ""UAE""))
      :snt3 (p2 / publication
            :name (n5 / name
                  :op1 ""COVID19""))
      :snt4 (h2 / hyperlink-91
            :ARG3 (u / url-entity
                  :value ""https://t.co/RLaiqQIaaQ"")))"
"They're dying so we can eat, and they can get a paycheck.

Not 1 worker at my local IGA store had protection, and each were too close, like nothing was wrong. 

#FoodSupply, #coronaVirus can wreck it and that may be soon:

#GroceryWorkers 

https://t.co/PVYncNN9wo",Positive,"They are dying so that we can eat, and they can get a paycheck.","(m / multi-sentence
      :snt1 (a / and
            :op1 (d / die-01
                  :ARG1 (p / person
                        :ARG0-of (w / work-01))
                  :purpose (a2 / and
                        :op1 (p2 / possible-01
                              :ARG1 (e / eat-01
                                    :ARG0 (w2 / we)))
                        :op2 (p3 / possible-01
                              :ARG1 (g / get-01
                                    :ARG0 p
                                    :ARG1 (p4 / paycheck)))))
            :op2 (a3 / and
                  :op1 (p5 / protect-01
                        :polarity -
                        :ARG1 (p6 / person
                              :quant 1
                              :ARG0-of (w3 / work-01)
                              :location (s / store
                                    :mod (c / company
                                          :name (n / name
                                                :op1 ""IGA""))
                                    :ARG1-of (l / local-02)
                                    :poss (ii / i))))
                  :op2 (h / have-degree-91
                        :ARG1 p6
                        :ARG2 (c2 / close-10
                              :ARG1 p6)
                        :ARG3 (t / too)
                        :conj-as-if (w4 / wrong-02
                              :ARG1 (n2 / nothing)))))
      :snt2 (a4 / and
            :op1 (s2 / supply-01
                  :ARG1 (f / food))
            :op2 (p7 / possible-01
                  :ARG1 (w5 / wreck-01
                        :ARG0 (v / virus
                              :name (n3 / name
                                    :op1 ""Corona""))
                        :ARG1 s2)
                  :time (s3 / soon))))"
