AMR
"(d / dismiss-01
                                                :ARG1 f2)
                                          :ARG1-of (p2 / possible-01
                                                :polarity -))))
                        :mod (a2 / also)))))"
"(c / cause-01
      :ARG0 (c2 / combine-01
            :ARG1 (o / or
                  :op1 (y / yield
                        :li 1
                        :ARG1-of (h / have-degree-91
                              :ARG2 (h2 / high-02
                                    :ARG1 y)
                              :ARG3 (m / more)))
                  :op2 (p / price
                        :li 2
                        :ARG1-of (h3 / have-degree-91
                              :ARG2 (h4 / high-02
                                    :ARG1 p)
                              :ARG3 (m2 / more)))
                  :op3 (a / aid-01
                        :li 3
                        :ARG0 (g / government-organization
                              :ARG0-of (g2 / govern-01))
                        :ARG1-of (r / resemble-01
                              :ARG2 (p2 / pay-01
                                    :ARG3 (p3 / program
                                          :name (n / name
                                                :op1 ""Market""
                                                :op2 ""Facialilitation""
                                                :op3 ""Program""))
                                    :time (b / before
                                          :op1 (n2 / now)
                                          :duration (t / temporal-quantity
                                                :quant 2
                                                :unit (y2 / year))))))))
      :ARG1 (p4 / possible-01
            :ARG1 (h5 / have-degree-91
                  :ARG1 (r2 / return-06)
                  :ARG2 (g3 / good-02
                        :ARG1 r2)
                  :ARG3 (m3 / more)
                  :ARG4 (p5 / project-02
                        :ARG1 r2
                        :time (c3 / current)
                        :location (b2 / budget
                              :mod (d / date-entity
                                    :year 2020))))))"
"(c / change-01
      :ARG1 (a / and
            :op1 (a2 / attitude
                  :poss (p / person
                        :ARG0-of (c2 / consume-01)))
            :op2 (h / habit
                  :mod (m / media))
            :op3 (e / expect-01
                  :ARG0 p))
      :time (p2 / pandemic
            :name (n / name
                  :op1 ""COVID-19"")))"
"(m / multi-sentence
      :snt1 (n / need-01
            :ARG0 (ii / i)
            :ARG1 (a / assist-01
                  :ARG1 ii))
      :snt2 (a2 / and
            :op1 (w / work-01
                  :ARG0 (p / person
                        :ARG0-of (h / have-rel-role-91
                              :ARG1 (p2 / person
                                    :ARG0-of (h2 / have-rel-role-91
                                          :ARG1 (ii2 / i)
                                          :ARG2 (m2 / mom)))
                              :ARG2 (b / boyfriend)))
                  :ARG2 (s / store
                        :mod (r / retail-01)))
            :op2 (d / diagnose-01
                  :ARG1 (p3 / person
                        :ARG0-of (h3 / have-rel-role-91
                              :ARG1 p
                              :ARG2 (c / co-worker)))
                  :ARG2 (d2 / disease
                        :name (n2 / name
                              :op1 ""COVID-19""))
                  :time (j / just)))
      :snt3 (c2 / contrast-01
            :ARG1 (q / quarantine-01
                  :polarity -
                  :ARG0 (t / they)
                  :ARG1 (p4 / person
                        :ARG1-of (e / employ-01))
                  :duration (t2 / temporal-quantity
                        :quant 2
                        :unit (w2 / week)))
            :ARG2 (s2 / send-03
                  :ARG0 t
                  :ARG1 p4
                  :ARG2 (s3 / store
                        :mod (o / other)))))"
"(o / okay-01
      :ARG0 (ii / i)
      :ARG1 (l / lock-down-06)
      :time (u / until
            :op1 (f / find-out-03
                  :ARG0 ii
                  :ARG1 (n / need-01
                        :ARG0 (w / we)
                        :ARG1 (p / permit-01
                              :ARG0 (p2 / police)
                              :ARG1 (o2 / or
                                    :op1 (g / go-02
                                          :ARG0 w
                                          :ARG4 o2
                                          :op1 (s / supermarket)
                                          :op2 (p3 / pharmacy)))
                              :op2 (p4 / put-out-10
                                    :ARG0 w
                                    :ARG1 (r / rubbish
                                          :poss w)))
                        :ARG2 w
                        :ARG1-of (s2 / start-01
                              :time (d / date-entity
                                    :day 4))))))"
"(w / warn-01
      :ARG0 (p / police)
      :ARG1 (t / trend-01
            :ARG1 (m / media
                  :mod (s / social))
            :ARG0-of (d / disturb-01)
            :ARG1-of (n / new-01)))"
"(d / dream-01
      :ARG0 (ii / i)
      :ARG1 (p / possible-01
            :ARG1 (s / stroll-01
                  :ARG0 ii
                  :ARG2 (a / aisle
                        :mod (e / every)
                        :ARG1-of (s2 / single-02)
                        :part-of (s3 / store-01
                              :ARG1 (g / grocery)))
                  :direction (d2 / down)))
      :time (d3 / date-entity
            :dayperiod (n / night)
            :mod (y / yesterday)))"
"(m / multi-sentence
      :snt1 (d / do-02
            :ARG0 (ii / i)
            :ARG1 (a / and
                  :op1 (ii2 / intro
                        :mod (p / publication
                              :name (n / name
                                    :op1 ""YouTube"")))
                  :op2 (s / sell-01
                        :mod (o / outro)))
            :ARG3 (o2 / or
                  :op1 (p2 / person
                        :ARG0-of (h / have-org-role-91
                              :ARG1 p
                              :ARG2 (p3 / publication
                                    :name (n2 / name
                                          :op1 ""YouTube""))
                              :ARG0 (p4 / person
                                    :ARG0-of (h2 / have-org-role-91
                                          :ARG1 p3
                                          :ARG2 (p5 / publication
                                                :name (n3 / name
                                                      :op1 ""YouTube""))
                                          :time (c / current))))
                        :ARG1-of (b / be-temporally-at-91
                              :ARG2 (u / upcoming)))
                  :op2 p4)
            :time (c2 / current))
      :snt2 (p6 / price-01
            :ARG2 (m2 / monetary-quantity
                  :quant 1
                  :unit (d2 / dollar)))
      :mod (h3 / hey
            :mode expressive))"
"(m / multi-sentence
      :snt1 (a / and
            :op1 (w / work-01
                  :ARG0 (ii / i)
                  :ARG2 (j / job
                        :ARG1-of (n / new-01)
                        :poss ii)
                  :duration (t / temporal-quantity
                        :quant 2
                        :unit (w2 / week))
                  :time (b / before
                        :op1 (l / lock-down-06)))
            :op2 (p / pay-01
                  :ARG2 ii
                  :ARG3 (d / do-02
                        :ARG0 ii
                        :ARG1 (n2 / nothing))
                  :time (n3 / now)))
      :snt2 (b2 / bad-07
            :polarity -
            :ARG1 (ii2 / it)
            :ARG1-of (c / cause-01
                  :ARG0 (a2 / and
                        :op1 (h / have-03
                              :ARG0 (ii3 / i)
                              :ARG1 (k / kid))
                        :op2 (s / see-01
                              :polarity -
                              :ARG0 ii3
                              :ARG1 (a3 / anyone)
                              :mod (a4 / anyway))))
            :ARG2-of (h2 / have-degree-91
                  :ARG1 ii2
                  :ARG3 (t2 / too))))"
"(a / and
      :op1 (f / fight-01
            :ARG0 (w / we
                  :mod (a2 / all))
            :ARG1 (d / disease
                  :name (n / name
                        :op1 ""Covid-19""
                        :op2 ""Deadly""
                        :op3 ""Virus""))
            :location (g / globe))
      :op2 (u / use-01
            :ARG0 (p / person
                  :ARG0-of (b / blackmarket-01))
            :ARG1 (p2 / platform
                  :poss (y / you))
            :ARG2 (s / sell-01
                  :ARG0 p
                  :ARG1 (a3 / and
                        :op1 (m / mask)
                        :op2 (s2 / sanitizer))
                  :ARG3 (m2 / monetary-quantity
                        :ARG1-of (h / high-02
                              :degree (v / very))
                        :ARG2-of (p3 / price-01)))
            :ARG0-of (ii / ignore-01
                  :ARG1 (n2 / notification
                        :source (g2 / government-organization
                              :ARG0-of (g3 / govern-01
                                    :ARG1 (c / country
                                          :name (n3 / name
                                                :op1 ""India""))))
                        :time (d2 / date-entity
                              :month 3
                              :day 19
                              :year 2002)))))"
"(f / false
      :domain (c / claim-01
            :ARG1 (c2 / contrast-01
                  :ARG1 (s / shelf
                        :ARG1-of (s2 / stock-01
                              :ARG1-of (w / well-09))
                        :mod (f2 / food
                              :mod (v / vegan)))
                  :ARG2 (c3 / clear-out-05
                        :ARG1 (ii / item
                              :mod (f3 / food)
                              :mod (o / other))
                        :time (r / round-05
                              :ARG1 (b / buy-01
                                    :purpose (p / panic-01)
                                    :time (c4 / coronavirus
                                          :mod (n / novel))))))))"
"(b / be-temporally-at-91
      :ARG2 (s / start-01
            :ARG0 (s2 / shop
                  :ARG1-of (l / local-02
                        :ARG2 (y / you)))
            :ARG1 (c / charge-01
                  :ARG0 s2
                  :ARG1 (p / price
                        :mod (e / exorbitant)))))"
"(m / multi-sentence
      :snt1 (l / lesson
            :ARG1-of (l2 / learn-01
                  :ARG0 (w / we)
                  :time (m2 / midst
                        :op1 (p / publication
                              :name (n / name
                                    :op1 ""Covid_19""))))
            :ARG1-of (k / key-02)
            :mod (s / some))
      :snt2 (n2 / need-01
            :li 2
            :ARG0 (w2 / we)
            :ARG1 (s2 / state
                  :ARG0-of (r / resiliate-01)
                  :mod (s3 / society)))
      :snt3 (m3 / matter-01
            :li 4
            :ARG1 (s4 / science))
      :snt4 (b / backbone
            :poss (s5 / society)
            :domain (p2 / person
                  :ARG0-of (w3 / work-01
                        :ARG1 (h / health)))))"
"(m / multi-sentence
      :snt1 (a / announce-01
            :ARG0 (c / company
                  :name (n / name
                        :op1 ""FINEOS""))
            :ARG1 (l / launch-01
                  :ARG0 c
                  :ARG1 (p / product
                        :name (n2 / name
                              :op1 ""COVID-19"")
                        :instrument-of (c2 / calculate-01
                              :ARG1 (l2 / leave-15
                                    :ARG3-of (p2 / pay-01))))))
      :snt2 (p3 / possible-01
            :ARG1 (l3 / learn-01
                  :ARG0 (p4 / person
                        :ARG0-of (c3 / consume-01))
                  :ARG1 (a2 / amount
                        :quant-of (l4 / leave-15
                              :ARG3-of (p5 / pay-01))
                        :ARG1-of (a3 / apply-02
                              :ARG2 (r / reason
                                    :mod p)))
                  :manner (a4 / answer-01
                        :ARG0 p4
                        :ARG1 (t / thing
                              :ARG1-of (q / question-01)
                              :quant (f / few))))))"
"(w / wonder-01
      :ARG0 (ii / i)
      :ARG1 (t / truth-value
            :polarity-of (e / eat-01
                  :ARG0 (w2 / we)
                  :location (o / out)
                  :time (b / before
                        :op1 (d / disease
                              :name (n / name
                                    :op1 ""coronavirus"")))
                  :ARG1-of (h / have-quant-91
                        :ARG2 (m / much)
                        :ARG3 (t2 / too))))
      :ARG1-of (c / cause-01
            :ARG0 (a / and
                  :op1 (l / late
                        :op1 (d2 / day)
                        :degree (s / somewhat))
                  :op2 (c2 / clean-out-03
                        :ARG1 (s2 / shelf
                              :part-of (s3 / store
                                    :mod (g / grocery))))
                  :op3 (c3 / close-01
                        :ARG1 (r / restaurant
                              :quant (m2 / many))))))"
"(c / cause-01
      :ARG0 (a / amr-unknown)
      :ARG1 (g / give-01
            :polarity -
            :ARG1 (g2 / glove)
            :ARG2 (p / person
                  :ARG0-of (c2 / check-01))))"
"(a / and
      :op1 (r / remain-01
            :ARG1 (o / office
                  :mod (p / post))
            :ARG3 (o2 / open-09
                  :ARG1 o))
      :op2 (o3 / out-there
            :domain (a2 / and
                  :op1 (p2 / person
                        :ARG0-of (p3 / post-02))
                  :op2 (p4 / person
                        :ARG0-of (d / drive-01))
                  :poss (w / we))
            :mod (s / still)
            :location-of (d2 / deliver-01
                  :ARG0 a2
                  :frequency (r2 / rate-entity-91
                        :ARG3 (t / temporal-quantity
                              :quant 1
                              :unit (d3 / day))))
            :concession (p5 / possible-01
                  :ARG1 (ii / impact-01
                        :ARG1 (s2 / service)
                        :quant (s3 / some)))))"
"(a / allow-01
      :ARG1 (g / go-02
            :ARG0 (y / you)
            :ARG4 (o / outside)
            :purpose (o2 / or
                  :op1 (r / run-02
                        :ARG0 y
                        :ARG1 (d / dog))
                  :op2 (h / hike-01
                        :ARG0 y
                        :ARG2 d)
                  :op3 (w / walk-01
                        :ARG0 y
                        :ARG1 d))))"
"(o / open-01
      :ARG0 (ii / i)
      :ARG1 (d / door
            :part-of (a / and
                  :op1 (e / entrance
                        :mod (m / main)
                        :part-of (b / building
                              :poss (w / we)))
                  :op2 (s / supermarket)))
      :purpose (p / protect-01
            :ARG0 ii
            :ARG1 ii
            :ARG2 (c / coronavirus))
      :time (s2 / since
            :op1 (d2 / date-entity
                  :month 3
                  :day 12)))"
"(m / multi-sentence
      :snt1 (s / swap-01
            :ARG0 (p / person
                  :mod (e / elderly)
                  :ARG0-of (h / have-rel-role-91
                        :ARG1 (ii / i)
                        :ARG2 (n / neighbor)))
            :ARG1 (t / tip-05
                  :ARG2 (g / grow-03
                        :ARG1 (a / and
                              :op1 (p2 / potato)
                              :op2 (c / courgette))))
            :ARG2 ii
            :medium (p3 / phone))
      :snt2 (a2 / and
            :op1 (g2 / give-01
                  :ARG0 (s2 / she)
                  :ARG1 (t2 / tip-05)
                  :ARG2 ii)
            :op2 (b / buy-01
                  :ARG0 (ii2 / i)
                  :ARG1 (t3 / thing
                        :ARG1-of (n2 / need-01
                              :ARG0 (a3 / and
                                    :op1 s2
                                    :op2 ii2)))
                  :ARG2 (o / or
                        :op1 (s3 / supermarket
                              :ARG1-of (l / local-02)
                              :location-of (s4 / shop-01
                                    :ARG0 ii2
                                    :frequency (r / rate-entity-91
                                          :ARG3 (t4 / temporal-quantity
                                                :quant 1
                                                :unit (w / week)))))
                        :op2 (c2 / company
                              :name (n3 / name
                                    :op1 ""Amazon""))))
            :ARG1-of (f / fair-01))
      :snt3 (g3 / grow-03
            :ARG1 (v / vegetable)
            :time (d / date-entity
                  :year 2019
                  :month 4)))"
"(m / multi-sentence
      :snt1 (u / urge-01
            :ARG0 (g / government-organization
                  :ARG0-of (a / administrate-01)
                  :mod (p / person
                        :name (n / name
                              :op1 ""Trump"")))
            :ARG1 (p2 / person
                  :ARG0-of (w / work-01
                        :ARG1 (s / supply-01
                              :ARG1 (f / food))))
            :ARG2 (s2 / step-up-03
                  :ARG1 p2
                  :purpose (m2 / meet-01
                        :ARG0 p2
                        :ARG1 (d / demand-01
                              :ARG1 f
                              :ARG1-of (g2 / grow-01)))))
      :snt2 (p3 / provide-01
            :ARG0 (y / you)
            :ARG1 (s3 / serve-01
                  :ARG0 y
                  :ARG2 (p4 / person
                        :mod (c / country
                              :name (n2 / name
                                    :op1 ""U.S."")))
                  :mod (g3 / great))
            :manner (h / have-org-role-91
                  :ARG0 y
                  :ARG1 (ii / infrastructure
                        :ARG1-of (c2 / critical-02))
                  :ARG2 (p5 / part)))
      :snt3 (a2 / and
            :op1 (s4 / show-up-02
                  :mode imperative
                  :ARG1 y)
            :op2 (d2 / do-02
                  :mode imperative
                  :ARG0 y
                  :ARG1 (j / job
                        :poss y))))"
"(m / multi-sentence
      :snt1 (b / bottle
            :consist-of (p / product
                  :name (n / name
                        :op1 ""Eucalyptus""
                        :op2 ""Sanitizer""))
            :source (c / company
                  :name (n2 / name
                        :op1 ""OdoBan""))
            :domain (t / this))
      :snt2 (k / kill-01
            :ARG0 (ii / it)
            :ARG1 (g / germ
                  :ARG1-of (ii2 / include-91
                        :ARG2 (g2 / germ)
                        :ARG3 (p2 / percentage-entity
                              :value 99.99)))))"
"(n / need-01
      :ARG0 (p / person
            :ARG0-of (s / sell-01
                  :ARG1 (d / drug)))
      :ARG1 (h / help-01
            :ARG1 p))"
"(h / hoard-01
      :polarity -
      :mode imperative
      :polite +
      :ARG0 (y / you)
      :ARG1 (p / paper
            :purpose (t / toilet))
      :ARG1-of (c / cause-01
            :ARG0 (c2 / create-01
                  :ARG0 p
                  :ARG1 (p2 / panic-01
                        :ARG1-of (n / need-01
                              :polarity -)))))"
"(t / tout-01
      :ARG1 (s / screen
            :mod (t2 / transparent)
            :ARG1-of (s2 / spring-up-02
                  :location (a / and
                        :op1 (t3 / till
                              :mod (s3 / supermarket))
                        :op2 (p / pharmacy)
                        :location (a2 / across
                              :op1 (c / country
                                    :name (n / name
                                          :op1 ""Germany""))))))
      :ARG3 (b / barrier
            :ARG1-of (s4 / simple-02
                  :ARG1-of (c2 / contrast-01
                        :ARG2 (e / effective-04
                              :ARG0 b
                              :ARG1 (c3 / counter-01
                                    :ARG1 (c4 / coronavirus)))))))"
"(m / multi-sentence
      :snt1 (j / join-04
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (w / we)
            :ARG2 (d / discuss-01
                  :ARG0 w
                  :ARG1 (a / and
                        :op1 (c / change-01
                              :ARG1 (a2 / and
                                    :op1 (p / person
                                          :ARG0-of (c2 / consume-01))
                                    :op2 (p2 / practice-01
                                          :ARG0 p)
                                    :location (c3 / country
                                          :name (n / name
                                                :op1 ""Japan""))
                                    :time (a3 / age
                                          :mod (p3 / person
                                                :name (n2 / name
                                                      :op1 ""Reiwa"")))))
                        :op2 (o / organization
                              :name (n3 / name
                                    :op1 ""COVID-19""))))
            :time (d2 / date-entity
                  :day 14
                  :month 4
                  :time ""18:00""
                  :weekday (t / tuesday)
                  :mod (n4 / next)))
      :snt2 (a4 / and
            :op1 (h / hold-04
                  :ARG1 (e / event
                        :mod (t2 / this))
                  :medium (o2 / online))
            :op2 (c4 / cohost-01
                  :ARG0 (p4 / person
                        :name (n5 / name
                              :op1 ""carterjmrn""))
                  :ARG1 e))
      :snt3 (r / register-02
            :mode imperative
            :ARG0 (y2 / you)
            :location (h2 / here
                  :mod (u / url-entity
                        :value ""https://""))))"
"(r / recommend-01
      :ARG1 (s / stop-03
            :ARG0 (a / and
                  :op1 (c / company
                        :name (n / name
                              :op1 ""Amazon""))
                  :op2 (c2 / company
                        :name (n2 / name
                              :op1 ""eBay"")))
            :ARG1 (p / person
                  :ARG0-of (s2 / sell-01))
            :ARG2 (a2 / and
                  :op1 (h / hoard-01
                        :ARG0 p)
                  :op2 (g / gouge-02
                        :ARG0 p
                        :ARG1 (t / thing
                              :ARG2-of (p2 / price-01))))))"
"(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (p / person
                  :quant (f / few))
            :ARG1 (e / end-01
                  :domain (ii / it)))
      :snt2 (t / think-01
            :ARG0 (ii2 / i)
            :ARG1 (g / go-on-15
                  :ARG1 (l / live-01
                        :ARG0 (w / we
                              :mod (a / all))
                        :ARG1 (l2 / life
                              :mod (t2 / trivial)
                              :poss w)
                        :time (u / until
                              :op1 (m2 / moment
                                    :ord (o / ordinal-entity
                                          :value ""-1"")
                                    :subevent-of (d / demise
                                          :poss w)
                                    :time-of (r / realize-01
                                          :ARG0 w
                                          :ARG1 (s2 / spend-02
                                                :ARG0 w
                                                :ARG1 (d2 / day
                                                      :poss w
                                                      :mod (l3 / last))
                                                :ARG2 (b / buy-01
                                                      :ARG0 w
                                                      :ARG1 (p2 / paper
                                                            :purpose (t3 / toilet)))
                                                :location (s3 / store
                                                      :mod (g2 / grocery)))))))
                  :concession (e2 / even-if
                        :op1 (e3 / end-01
                              :domain (ii3 / it))))))"
"(c / crazy-03
      :ARG1 (p / panic-01
            :mod (m / mass)
            :location (a / around
                  :op1 (w / world)))
      :polarity (a2 / amr-unknown)
      :mod (g / generation
            :ARG1-of (w2 / wicked-02)))"
"(s / see-01
      :ARG0 (c / country
            :name (n / name
                  :op1 ""Saudi""
                  :op2 ""Arabia""))
      :ARG1 (l / lose-02
            :ARG0 c
            :mod (h / huge))
      :ARG1-of (c2 / cause-01
            :ARG0 (a / and
                  :op1 (p / plummet-01
                        :ARG1 (p2 / price-01
                              :ARG1 (o / oil)))
                  :op2 (f / force-01
                        :ARG0 (p3 / pandemic
                              :mod (v / virus
                                    :mod (c3 / coronavirus)))
                        :ARG2 (s2 / shut-down-05)))))"
"(m / multi-sentence
      :snt1 (h / hero
            :ARG1-of (r / real-04)
            :poss (p / pandemic)
            :domain (a / and
                  :op1 (p2 / person
                        :ARG1-of (e / employ-01
                              :ARG2 (s / store
                                    :mod (g / grocery))))
                  :op2 (p3 / person
                        :ARG0-of (d / drive-01
                              :ARG1 (t / truck)))
                  :ARG0-of (k / keep-01
                        :ARG1 (s2 / shelf
                              :ARG1-of (s3 / stock-01))
                        :time (p4 / panic-01
                              :mod (w / widespread)))
                  :op3 (p5 / person
                        :ARG0-of (f / farm-01)
                        :mod (c / country
                              :name (n / name
                                    :op1 ""America"")))
                  :op4 (a2 / and
                        :op1 (d2 / doctor)
                        :op2 (n2 / nurse)
                        :ARG0-of (w2 / work-01
                              :ARG1 (s4 / shift
                                    :quant 2))
                        :ARG0-of (r2 / risk-01)
                        :ARG2-of r2)))
      :snt2 (t2 / thank-01
            :ARG1 (y / you)))"
"(p / produce-01
      :ARG0 (f / factory
            :quant 18)
      :ARG1 (r / rate-entity-91
            :ARG1 (s / sanitizer
                  :quant (v / volume-quantity
                        :quant 1200000
                        :unit (l / liter)))
            :ARG2 (t / temporal-quantity
                  :quant 1
                  :unit (d / day)))
      :purpose (r2 / reduce-01
            :ARG0 f
            :ARG1 (s2 / spread-02
                  :ARG1 (d2 / disease
                        :name (n / name
                              :op1 ""Coronavirus""))
                  :location (c / country
                        :name (n2 / name
                              :op1 ""Ethiopia"")))))"
"(s / stock-up-02
      :mode imperative
      :ARG0 (y / you)
      :ARG1 (a / and
            :op1 (b / bar
                  :mod (p / protein)
                  :mod (h / healthy)
                  :mod (d / delicious))
            :op2 (c / cookie)
            :ARG1-of (s2 / sell-01)
            :ARG1-of (c2 / contrast-01
                  :ARG2 (p2 / paper
                        :polarity -
                        :mod (t / toilet)))))"
"(b / benefit-01
      :ARG0 (f / fund-01
            :ARG0 (g / government-organization
                  :ARG0-of (g2 / govern-01))
            :ARG1 (o / organization
                  :ARG0-of (r / redistribute-01
                        :ARG1 (f2 / food))
                  :location (a / across
                        :op1 (c / country
                              :name (n / name
                                    :op1 ""England""))))
            :ARG2 (m / monetary-quantity
                  :quant 2500000
                  :unit (p / pound))
            :purpose (h / help-01
                  :ARG0 o
                  :ARG1 (a2 / and
                        :op1 (c2 / cut-02
                              :ARG0 o
                              :ARG1 (w / waste-01
                                    :ARG1 f2))
                        :op2 (r2 / redistribute-01
                              :ARG0 o
                              :ARG1 (s / stock
                                    :mod (s2 / surplus)
                                    :quant (u / up-to
                                          :op1 (m2 / mass-quantity
                                                :quant 14000
                                                :unit (t / ton))))
                              :time (o2 / outbreak-29
                                    :ARG1 (d / disease
                                          :name (n2 / name
                                                :op1 ""coronavirus"")))))))
      :ARG1 o)"
"(m / multi-sentence
      :snt1 (a / and
            :op1 (g / go-02
                  :ARG0 (ii / i)
                  :ARG4 (s / supermarket
                        :poss ii
                        :ord (o / ordinal-entity
                              :value 1)
                        :mod (p / post
                              :op1 (o2 / outbreak-29
                                    :ARG1 (d / disease
                                          :name (n / name
                                                :op1 ""coronavirus"")))))
                  :mod (j / just))
            :op2 (e / empty-02
                  :ARG1 (a2 / aisle)
                  :ARG1-of (c / cause-01
                        :ARG0 (b / buy-01
                              :manner (p2 / panic-01)))))
      :snt2 (w / wonder-01
            :ARG0 (p3 / person)
            :ARG1 (t / thing
                  :ARG0-of (c2 / cause-01
                        :ARG1 (t2 / trust-01
                              :polarity -
                              :ARG0 (g2 / government-organization
                                    :ARG0-of (g3 / govern-01))
                              :ARG1 (d2 / detail-01
                                    :ARG1 (r / risk-01
                                          :ARG0 (w2 / we
                                                :mod (r2 / race
                                                      :mod (h / human)))
                                          :mod (e2 / every)))
                              :ARG2 (p4 / public))))))"
"(u / use-01
      :ARG0 (p / person)
      :ARG1 (a / and
            :op1 (w / wipe)
            :op2 (t / t-shirt)
            :op3 (m / material
                  :mod (o / other)))
      :ARG2 (r / result
            :ARG1-of (p2 / predict-01
                  :ARG1-of (p3 / possible-01)))
      :ARG1-of (c / cause-01
            :ARG0 (s / short-06
                  :ARG2 (p4 / paper
                        :purpose (t2 / toilet)))))"
"(m / multi-sentence
      :snt1 (a / and
            :op1 (g / go-02
                  :ARG0 (ii / i)
                  :ARG4 (s / store
                        :mod (g2 / grocery))
                  :mod (j / just))
            :op2 (g3 / give-01
                  :polarity -
                  :ARG1 (g4 / glove
                        :mod (m2 / medicine))
                  :ARG2 (p / person
                        :ARG0-of (g5 / guard-01
                              :ARG1 (s2 / security)))))
      :snt2 (w / wrong-02
            :ARG1 (t / this)))"
"(m / multi-sentence
      :snt1 (g / go-02
            :ARG0 (y / you)
            :ARG4 (s / store
                  :mod (g2 / grocery))
            :time (l / lately)
            :polarity (a / amr-unknown))
      :snt2 (r / read-01
            :mode imperative
            :ARG0 y
            :ARG1 (b / blog-01
                  :ARG0 (ii / i))
            :purpose (f / find-out-03
                  :ARG0 y
                  :ARG1 (t / thing
                        :manner-of (g3 / go-06
                              :ARG0 (t2 / trip-03
                                    :ARG0 (w / we)))))))"
"(m / multi-sentence
      :snt1 (s / see-01
            :ARG0 (b / brand
                  :example (a / and
                        :op1 (c / company
                              :name (n / name
                                    :op1 ""VitaCoco""))
                        :op2 (c2 / company
                              :name (n2 / name
                                    :op1 ""Fringesport""))
                        :op3 (c3 / company
                              :name (n3 / name
                                    :op1 ""manitobaharvest""))))
            :ARG1 (d / demand-01
                  :ARG0 (c4 / company
                        :name (n4 / name
                              :op1 ""Amazon""))
                  :mod (h / huge))
            :time (s2 / switch-01
                  :ARG0 (p / person)
                  :ARG2 (a2 / and
                        :op1 (s3 / shop-01
                              :ARG0 p
                              :medium (o / online))
                        :op2 (w / work-out-03
                              :ARG0 p
                              :location (h2 / home))
                        :op3 (r / recipe
                              :mod (c5 / conscious
                                    :mod (h3 / health))))))
      :snt2 (s4 / see-01
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (t / thing
                  :manner-of (s5 / strike-01
                        :ARG0 (t2 / they)
                        :ARG1 (c6 / chord)
                        :ARG2 (c7 / change-01
                              :ARG1 (b2 / behave-01
                                    :ARG0 (p2 / person
                                          :ARG0-of (c8 / consume-01))))
                        :time (d2 / during)))))"
"(o / offer-01
      :ARG1 (a / and
            :op1 (e / employ-01
                  :ARG1 (p / person
                        :quant 8000
                        :ARG0-of (w / work-01)
                        :ARG0-of (l / lose-02
                              :ARG1 (j / job
                                    :poss p)
                              :ARG1-of (c / cause-01
                                    :ARG0 (l2 / law
                                          :name (n / name
                                                :op1 ""COVID-19"")))))
                  :ARG1-of (n2 / new-01))
            :op2 (t / train-01
                  :ARG2 p))
      :ARG3 (ii / initiative
            :ARG1-of (l3 / launch-01
                  :ARG0 (a2 / and
                        :op1 (w2 / we)
                        :op2 (g / government-organization
                              :ARG0-of (g2 / govern-01))))
            :purpose (k / keep-01
                  :ARG0 a2
                  :ARG1 (s / shelf
                        :part-of (s2 / supermarket))
                  :ARG2 (s3 / stock-01)
                  :time (p2 / pandemic))))"
"(m / multi-sentence
      :snt1 (t / team
            :mode expressive
            :degree (s / so))
      :snt2 (f / foster-01
            :ARG0 (c / company
                  :name (n / name
                        :op1 ""TrajectMobility"")
                  :mod c
                  :name n
                  :op1 ""Coronavirus""))
      :ARG1 (d / discover-01
            :ARG0 (w / we)
            :ARG1 (s2 / skill
                  :ARG1-of (n2 / new-01)
                  :poss (c2 / colleague)))
      :ARG2 w
      :snt3 (a / and
            :op1 (a2 / after
                  :op1 (w2 / work-out-03))
            :op2 (t2 / toiletpaper)
            :op3 (k / keep-on-08
                  :ARG1 (m2 / move-01))
            :op4 (s3 / stretch-01)
            :op5 (h / homework))
      :snt4 (u / url-entity
            :value ""https://t.co/s5IL6WP""))"
"(m / multi-sentence
      :snt1 (a / and
            :op1 (d / disable-01
                  :ARG1 (ii / i))
            :op2 (p / possible-01
                  :polarity -
                  :ARG1 (d2 / drive-01
                        :ARG0 ii))
            :op3 (c / cause-01
                  :ARG0 (p2 / panicker-01
                        :ARG0 (e / everyone))
                  :ARG1 (p3 / possible-01
                        :polarity -
                        :ARG1 (b / book-03
                              :ARG0 ii
                              :ARG1 (s / shop
                                    :medium (o / online))
                              :location (a2 / anywhere)))))
      :snt2 (s2 / survive-01
            :ARG0 (p4 / person
                  :ARG1-of (r / resemble-01
                        :ARG2 (ii2 / i))
                  :ARG0-of (r2 / rely-01
                        :ARG1 (d3 / deliver-01
                              :ARG1 (f / food)
                              :medium (o2 / online))))
            :ARG1 (a3 / amr-unknown)
            :time (p5 / possible-01
                  :ARG1 (g / get-01
                        :ARG0 (w / we)
                        :ARG1 (ii3 / item
                              :ARG1-of (e2 / essential-01)
                              :poss w)
                        :time (n / no-longer)))))"
"(c / cause-01
      :ARG0 (a / amr-unknown)
      :ARG1 (p / possible-01
            :polarity -
            :ARG1 (s / stop-01
                  :ARG0 (c2 / company
                        :name (n / name
                              :op1 ""Amazon""))
                  :ARG1 (p2 / person
                        :ARG0-of (g / gouge-02
                              :ARG2 (p3 / price-01
                                    :ARG1 (v / virus
                                          :mod (c3 / coronavirus))))))))"
"(m / multi-sentence
