AMR
"(m / multi-sentence
"(m / multi-sentence
      :snt1 (d / demand-01
            :ARG0 (g / group
                  :mod (c / continent
                        :name (n / name
                              :op1 ""Europe""))
                  :quant (m2 / multiple
                        :op1 12))
            :ARG1 (e / end-01
                  :ARG1 (s / sanction-02
                        :ARG0 (c2 / country
                              :name (n2 / name
                                    :op1 ""U.S.""))
                        :ARG1 (a / amp))))
      :snt2 (s2 / say-01
            :ARG0 (g2 / group)
            :ARG1 (p / prevent-01
                  :ARG0 (m3 / measure-02)
                  :ARG1 (o / organization
                        :mod (ii / international))
                  :ARG2 (s3 / supply-01
                        :ARG0 o
                        :ARG1 (m4 / medicine
                              :mod (a2 / amp
                                    :mod (f / food)))
                        :ARG2 (p2 / person
                              :location (c3 / country
                                    :mod (t / this)
                                    :ARG0-of (f2 / face-01)))))))"
"(m / multi-sentence
      :snt1 (m2 / make-01
            :ARG0 (ii / i)
            :ARG1 (p / pact
                  :topic (h / have-06
                        :ARG0 (w / we)
                        :ARG1 (m3 / meal
                              :mod (f / final))
                        :manner (t / together)))
            :ARG2 (p2 / person
                  :name (n / name
                        :op1 ""Space""
                        :op2 ""Daddy"")))
      :snt2 (f2 / find-01
            :ARG0 (w2 / whichever
                  :ARG1-of (ii2 / include-91
                        :ARG2 w))
            :ARG1 (p3 / pizza
                  :ARG1-of (f3 / freeze-01))
            :location (m4 / market
                  :name (n2 / name
                        :op1 ""Sainsbury's"")))
      :snt3 (p4 / publication
            :name (n3 / name
                  :op1 ""Covid19""))
      :snt4 (v / virus
            :mod (c / coronavirus))
      :snt5 (s / stop-01
            :ARG1 (h2 / hoard-01)))"
"(a / article
      :mod (c / comprehensive)
      :ARG1-of (w / write-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""DomYanchunas"")
                  :ARG0-of (h / have-rel-role-91
                        :ARG1 (ii / i)
                        :ARG2 (c2 / colleague))))
      :ARG0-of (d / detail-01
            :ARG1 (l / lose-01
                  :ARG1 (j / job)
                  :time (s / so-far)
                  :location (s2 / sector
                        :mod (p2 / person
                              :ARG0-of (c3 / consume-01
                                    :ARG1 (m / metal))))
                  :time (a2 / assail-01
                        :ARG0 (c4 / company
                              :name (n2 / name
                                    :op1 ""Covid-19""))
                        :ARG1 (e / economy
                              :mod (c5 / country
                                    :name (n3 / name
                                          :op1 ""US""))))))
      :ARG1-of (h2 / hyperlink-91
            :ARG3 (u / url-entity
                  :value ""https://t.co/sghmCiqbJ9"")))"
"(m / multi-sentence
      :snt1 (t / think-01
            :ARG0 (ii / i
                  :ARG0-of (m2 / market-01)
                  :ARG0-of (c / consume-01))
            :ARG1 (n / nail-01
                  :ARG0 (m3 / message-01
                        :ARG1 (b / brand-01)
                        :mod (t2 / this))
                  :ARG1 (ii2 / it)
                  :ARG1-of (c2 / cause-01
                        :ARG0 (a / and
                              :op1 (r / relevant-01)
                              :op2 (p / place-01
                                    :ARG1 m3
                                    :ARG2 (c3 / city-district
                                          :name (n2 / name
                                                :op1 ""Times""
                                                :op2 ""Square"")
                                          :part-of (c4 / city
                                                :name (n3 / name
                                                      :op1 ""NYC"")))
                                    :mod (c5 / context))
                              :op3 (s / sentiment)))))
      :snt2 (d / do-02
            :ARG0 (c6 / company
                  :name (n4 / name
                        :op1 ""CocaCola""))
            :ARG1-of (w / well-09)
            :polarity (a2 / amr-unknown))
      :snt3 (p2 / person
            :name (n5 / name
                  :op1 ""Covid_19"")
            :ARG0-of (s2 / stay-01
                  :location (h / home)
                  :ARG1-of (s3 / save-02)))
      :snt4 (u / url-entity
            :value ""https://t.co/ou5Iupd4GZ""))"
"(m / multi-sentence
      :snt1 (c / close-10
            :ARG1 (w / we)
            :ARG2 (b / bottom
                  :mod (e / equity))
            :time (w2 / week
                  :mod (t / this)))
      :snt2 (e2 / extreme
            :mod (m2 / massive)
            :time (t2 / today))
      :snt3 (l / look-01
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (t3 / thing
                  :name (n / name
                        :op1 ""VIX"")))
      :snt4 (l2 / look-01
            :mode imperative
            :ARG0 (y2 / you)
            :ARG1 (o / oil))
      :snt5 (m3 / mention-01
            :polarity -
            :ARG1 (t4 / thing
                  :degree-of (o2 / oversell-01
                        :ARG1 (e3 / equity))))
      :snt6 (c2 / contrast-01
            :ARG1 (p / possible-01
                  :ARG1 (w3 / worsen-01
                        :ARG1 (h / headline)))
            :ARG2 (n2 / near-02
                  :ARG1 (t5 / thing
                        :ARG2-of (p2 / price-01))
                  :ARG2 (e4 / extreme)))
      :snt7 (a / and
            :op1 (v / virus
                  :name (n3 / name
                        :op1 ""Coronavirus""))
            :op2 (p3 / product
                  :name (n4 / name
                        :op1 ""COVID19""))
            :op3 p3
            :name (n5 / name
                  :op1 ""SPY""))
      :op4 p3
      :name (n6 / name
            :op1 ""VXX""))"
"(m / multi-sentence
      :snt1 (p / possible-01
            :ARG1 (s / stop-01
                  :ARG0 (p2 / person)
                  :ARG1 (b / buy-01
                        :ARG0 p2
                        :ARG3 (f / food
                              :ARG1-of (f2 / free-03)))
                  :ARG1-of (c / cause-01
                        :ARG0 (h / hoard-01
                              :ARG0 p2
                              :ARG1 (f3 / food
                                    :mod (o / other))
                              :time (a / already))))
            :polarity (a2 / amr-unknown)
            :ARG1-of (s2 / serious-02))
      :snt2 (n / need-01
            :ARG0 (p3 / person)
            :ARG1 (f4 / food
                  :ARG1-of (f5 / free-03))
            :ARG1-of (c2 / cause-01
                  :ARG0 (ii / issue-02
                        :ARG0 (m2 / medicine))))
      :snt3 s
      :polite +
      :mode imperative
      :ARG0 (y / you)
      :ARG1 (p4 / panic-01
            :ARG1 y)
      :ARG1-of (c3 / cause-01
            :ARG0 (n2 / need-01
                  :ARG0 y)))"
"(m / multi-sentence
      :snt1 (m2 / make-01
            :ARG0 (f / factory
                  :ARG0-of (m3 / make-01
                        :ARG1 (a / and
                              :op1 (p / perfume)
                              :op2 (t / t-shirt)
                              :op3 (c / car))
                        :time (u / use-03)))
            :ARG1 (s / supply-01
                  :purpose (f2 / fight-01
                        :ARG0 f
                        :ARG1 (v / virus
                              :mod (c2 / coronavirus))))
            :time (n / now))
      :snt2 (a2 / and
            :op1 (p2 / publication
                  :name (n2 / name
                        :op1 ""https://t.co/VzLsCXq5TM""))
            :op2 (p3 / publication
                  :name n2
                  :op1 ""Manufacturing""
                  :op2 ""3dprinting""))
      :op3 (p4 / publication
            :name n2
            :op1 ""ventilator""))"
"(m / multi-sentence
      :snt1 (f / fuck-01
            :mode expressive
            :ARG1 (c / company
                  :name (n / name
                        :op1 ""Mighty""
                        :op2 ""Pound"")
                  :location (c2 / city-district
                        :name (n2 / name
                              :op1 ""Peckham""))))
      :snt2 (j / jack-up-02
            :ARG1 (p / price
                  :quant (s / some)
                  :ARG1-of (ii / include-91
                        :ARG2 (p2 / price
                              :poss (t / they))))
            :ARG1-of (c3 / cause-01
                  :ARG0 (v / virus
                        :mod (c4 / coronavirus)))
            :snt3 (a / and
                  :op1 (g / go-01
                        :ARG1 (t2 / towel
                              :mod (k / kitchen))
                        :ARG2 (u / up-02
                              :ARG1 t2
                              :ARG2 (m2 / monetary-quantity
                                    :quant 1.50
                                    :unit (p3 / pound)))
                        :time (n3 / now))
                  :op2 (g2 / go-01
                        :ARG1 (g3 / glove
                              :consist-of (p4 / plastic)
                              :location (b / behind
                                    :op1 (c5 / counter)))
                        :ARG2 (u2 / up-02
                              :ARG1 g3
                              :ARG2 (m3 / monetary-quantity
                                    :quant 2.5
                                    :unit (p5 / pound)))))
            :snt4 a
            :op1 (c6 / company
                  :name (n4 / name
                        :op1 ""Coronashopping""))
            :op2 (c7 / company
                  :name (n5 / name
                        :op1 ""COVID19""))
            :op3 (p6 / person
                  :ARG0-of (g4 / guzzle-01
                        :ARG1 (p7 / price)))))"
"(m / multi-sentence
      :snt1 (u / update-02
            :ARG2 (a / and
                  :op1 (s / see-01
                        :ARG0 (p / person
                              :ARG0-of (m2 / manage-01
                                    :ARG1 (s2 / supermarket)))
                        :ARG1 (w / wait-01
                              :ARG1 (w2 / we)
                              :ARG1-of (l / long-03
                                    :ARG2-of (h / have-degree-91
                                          :ARG1 w
                                          :ARG3 (t / too
                                                :mod (w3 / way))))))
                  :op2 (f / find-01
                        :ARG0 p
                        :ARG1 (r / register
                              :ARG1-of (o / open-09)))
                  :op3 (l2 / let-01
                        :ARG0 p
                        :ARG1 (g / go-02
                              :ARG0 w2
                              :ord (o2 / ordinal-entity
                                    :value 1)))))
      :snt2 (t2 / thank-01
            :ARG0 (ii / i)
            :ARG1 (p2 / person
                  :name (n / name
                        :op1 ""Allah""))
            :ARG2 (t3 / that)
            :time (ii2 / immediate))
      :snt3 (v / virus
            :name (n2 / name
                  :op1 ""Coronavirus""))
      :snt4 (d / distant-02
            :mod (s3 / social))
      :snt5 (f2 / festival
            :name (n3 / name
                  :op1 ""Easter""))
      :snt6 (p3 / pass-over))"
"(m / multi-sentence
      :snt1 (l / low-04
            :ARG1 (r / race-02
                  :ARG2 (q / queue-01
                        :purpose (g / get-05
                              :ARG2 (s / supermarket
                                    :poss (w / we)))))
            :ARG1-of (n / new-01))
      :snt2 (w2 / wrong-02
            :ARG1 (a / amr-unknown)
            :ARG2 (p / person)
            :mode expressive)
      :snt3 (b / be-located-at-91
            :ARG1 (y / you)
            :ARG2 (a2 / ahead
                  :op1 (ii / i)
                  :quant (p2 / place
                        :quant 1))
            :time (n2 / now))
      :snt4 (c / congratulate-01
            :mode expressive
            :ARG1 y
            :ARG2 (p3 / play-02
                  :ARG0 y
                  :ARG1 y
                  :mod (v / virus
                        :mod (c2 / coronavirus))
                  :mod (l2 / lockdown
                        :location (c3 / country
                              :name (n3 / name
                                    :op1 ""UK""))))))"
"(m / multi-sentence
      :snt1 (m2 / mean-01
            :polarity -
            :ARG1 (s / suppose-02
                  :ARG1 (w / we)
                  :ARG2 (a / apart
                        :op1 (d / distance-quantity
                              :quant 6
                              :unit (f / foot))
                        :location (a2 / and
                              :op1 (s2 / store
                                    :mod (g / grocery))
                              :op2 (e / et-cetera)))
                  :mod (j / just))
            :ARG2 (p / possible-01
                  :polarity -
                  :ARG1 (a3 / and
                        :op1 (c / contact-01
                              :ARG0 w
                              :manner (e2 / eye))
                        :op2 (s3 / say-01
                              :ARG0 w
                              :ARG1 (h / hello))
                        :ARG1-of (r / resemble-01
                              :ARG2 (b / being
                                    :mod (h2 / human)
                                    :ARG1-of (n / normal-02)
                                    :mod (f2 / fucking
                                          :mode expressive))))))
      :snt2 (a4 / and
            :op1 (s4 / smile-01
                  :ARG0 (ii / i)
                  :ARG2 (s5 / someone
                        :location (o / or
                              :op1 (c2 / company
                                    :name (n2 / name
                                          :op1 ""Walmart""))
                              :op2 (s6 / street))))
            :op2 (l / look-01
                  :ARG0 s5
                  :ARG1 ii
                  :manner (n3 / nuts
                        :domain ii)))
      :snt3 (a5 / amr-unknown
            :mod (f3 / fuck
                  :mode expressive))
      :snt4 (d2 / distance-01
            :mod (s7 / social))
      :snt5 (d3 / document
            :name (n4 / name
                  :op1 ""COVID19"")))"
"(m / multi-sentence
      :snt1 (s / step-up-03
            :ARG0 (ii / industry
                  :mod (r / retail-01)
                  :location (c / country
                        :name (n / name
                              :op1 ""UK"")))
            :ARG1 (r2 / respond-01
                  :ARG0 ii
                  :ARG1 (l / law
                        :name (n2 / name
                              :op1 ""COVID-19"")))
            :ARG1-of (c2 / cause-01
                  :ARG0 (c3 / choose-01
                        :ARG0 (s2 / store
                              :quant (m2 / many))
                        :ARG1 (c4 / close-01
                              :ARG1 s2))))
      :snt2 (l2 / let-know-07
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (w / we)
            :ARG2 (n3 / notice-01
                  :ARG0 y
                  :ARG1 c4
                  :ARG1 (s3 / store)
                  :location (o / or
                        :op1 (s4 / street
                              :ARG1-of (h / high-02))
                        :op2 (t / town)
                        :op3 (c5 / city)
                        :poss y)
                  :mod (a / any)))
      :snt3 (h2 / hyperlink-91
            :ARG3 (u / url-entity
                  :value ""https://t.co/CMzqtlPVGH""))
      :snt4 (r3 / reroute-01
            :ARG1 (p / publication
                  :name (n4 / name
                        :op1 ""Global""
                        :op2 ""Health""
                        :op3 ""Reporting""
                        :op4 ""Center"")))
      :snt5 p
      :name (n5 / name
            :op1 ""Coronavirus"")
      :snt6 (b / broadcast-program
            :name (n6 / name
                  :op1 ""Footfall""))
      :snt7 b
      :name (n7 / name
            :op1 ""SBinsights"")
      :snt8 (r4 / retail-01))"
"(m / multi-sentence
      :snt1 (a / announce-01
            :ARG0 (a2 / and
                  :op1 (c / company
                        :name (n / name
                              :op1 ""Lidl""))
                  :op2 (c2 / company
                        :name (n2 / name
                              :op1 ""ICeland""))
                  :op3 (c3 / company
                        :name (n3 / name
                              :op1 ""Nationwide"")))
            :ARG1 (t / time
                  :time-of (o / open-01)
                  :beneficiary (p / person
                        :ARG1-of (v / vulnerable-01))
                  :ARG1-of (s / special-02)))
      :snt2 (n4 / need-01
            :ARG0 (y / you)
            :ARG1 (a3 / and
                  :op1 (c4 / company
                        :name (n5 / name
                              :op1 ""Morrisons""))
                  :op2 (c5 / company
                        :name (n6 / name
                              :op1 ""Sainsburys""))
                  :op3 (c6 / company
                        :name (n7 / name
                              :op1 ""Asda""))
                  :op4 (c7 / company
                        :name (n8 / name
                              :op1 ""Tesco""))
                  :op5 (s2 / supermarket
                        :mod (a4 / all)))
            :mod (j / just))
      :snt3 (f / follow-02
            :ARG1 (a5 / and
                  :op1 (e / event
                        :name (n9 / name
                              :op1 ""COVID2019""))
                  :op2 (k / kind-01)
                  :op3 (s3 / stop-01
                        :ARG1 (b / buy-01
                              :mod (p2 / panic))))))"
"(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (ii / i)
            :ARG1 (t / try-01
                  :mode imperative
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""Kerry_Renshaw""))
                  :ARG1 (d / distance-01
                        :ARG1 p
                        :ARG2 (s2 / society)
                        :location (s3 / supermarket
                              :ARG1-of (f / full-09
                                    :ARG2 (p2 / person
                                          :ARG1-of (f2 / fuck-01)
                                          :mod (s4 / selfish)
                                          :ARG1-of (r / retard-01))))
                        :ARG1-of (c / challenge-01)))
            :ARG2 p)
      :snt2 (p3 / publication
            :name (n2 / name
                  :op1 ""Translate-01"")
            :ARG1-of (r2 / request-confirmation-91))
      :snt3 (v / virus
            :name (n3 / name
                  :op1 ""Coronavirus"")))"
"(m / move-02
      :ARG0 (a / and
            :op1 (t / thing
                  :ARG2-of (s / summarize-01
                        :ARG1 (r / retail-01))
                  :mod (p / product-of
                        :op1 3
                        :op2 (a2 / angle-quantity
                              :quant (v / variable
                                    :name (n / name
                                          :op1 ""H""))
                              :op3 (a3 / angle-quantity
                                    :quant (v2 / variable
                                          :name (n2 / name
                                                :op1 ""B""))))))
            :op2 (s2 / store
                  :mod (g / grocery)
                  :mod (o / other)
                  :location (a4 / across
                        :op1 (c / country
                              :name (n3 / name
                                    :op1 ""United""
                                    :op2 ""States"")))))
      :ARG1 (a5 / and
            :op1 (d / distance-01
                  :ARG0 a
                  :ARG1 (p2 / person
                        :ARG0-of (s3 / shop-01))
                  :manner (s4 / social))
            :op2 (l / limit-01
                  :ARG0 a
                  :ARG1 (c2 / capacity
                        :mod (s5 / store))))
      :ARG1-of (q / quick-02)
      :time (o2 / outbreak-29
            :ARG1 (d2 / disease
                  :name (n4 / name
                        :op1 ""COVID""
                        :op2 19))))"
"(m / multi-sentence
      :snt1 (d / do-02
            :polarity (a / amr-unknown)
            :ARG0 (w / we)
            :ARG1 (ii / it)
            :mod (a2 / again)
            :time (d2 / date-entity
                  :time ""22:00""
                  :dayperiod (n / night)
                  :mod (t / today))
            :beneficiary (a3 / and
                  :op1 (p / person
                        :ARG0-of (t2 / teach-01))
                  :op2 (p2 / person
                        :ARG0-of (w2 / work-01
                              :ARG2 (s / supermarket)))
                  :op3 (p3 / person
                        :ARG0-of (d3 / drive-01
                              :ARG1 (d4 / deliver-01
                                    :ARG0 p3
                                    :ARG1 (m2 / medicine)
                                    :location (c / city
                                          :name (n2 / name
                                                :op1 ""Bingham"")))))
                  :op4 (o / organization
                        :name (n3 / name
                              :op1 ""NHSheroes""))
                  :op5 (g / government-organization
                        :name (n4 / name
                              :op1 ""NHS""))))
      :snt2 (t3 / think-01
            :ARG0 (w3 / we)
            :ARG1 (p4 / person
                  :ARG0-of (d5 / drive-01
                        :ARG1 (t4 / tuk-tuk))
                  :ARG0-of (v / volunteer-01)
                  :poss w3))
      :ARG1-of (r / request-confirmation-91))"
"(m / multi-sentence
      :snt1 (h / have-trouble-04
            :ARG0 (y / you)
            :ARG1 (b / buy-01
                  :ARG0 y
                  :ARG1 (t / thing
                        :ARG1-of (s / supply-01)
                        :mod (e / essential)))
            :mod (s2 / still)
            :time (v / virus
                  :mod (c / coronavirus))
            :ARG1-of (t2 / try-01
                  :ARG0 y))
      :snt2 (s3 / supply-01
            :ARG0 (w / we)
            :ARG1 (a / and
                  :op1 (f / facemask)
                  :op2 (s4 / sanitizer)
                  :op3 (p / paper
                        :purpose (t3 / toilet))
                  :op4 (ii / item
                        :quant (m2 / more)
                        :ARG1-of (c2 / come-01))))
      :snt3 (r / request-confirmation-91))"
"(m / multi-sentence
      :snt1 (c / cause-01
            :ARG1 (a / and
                  :op1 (b / buy-01
                        :ARG0 (c2 / company
                              :name (n / name
                                    :op1 ""Brookside""))
                        :ARG1 (m2 / milk
                              :quant (v / volume-quantity
                                    :quant 1
                                    :unit (l / liter)))
                        :ARG2 (p / person
                              :ARG0-of (f / farm-01))
                        :quant (a2 / about
                              :op1 (v2 / volume-quantity
                                    :quant 35
                                    :unit (l2 / liter))))
                  :op2 (r / remove-01
                        :ARG0 c2
                        :ARG1 (f2 / fat)
                        :purpose (m3 / make-01
                              :ARG0 c2
                              :ARG1 (b2 / butter
                                    :mod (g / ghee))))
                  :op3 (g2 / give-back-03
                        :ARG0 c2
                        :ARG1 (w / water
                              :quant (v3 / volume-quantity
                                    :quant 1
                                    :unit (l3 / liter)))
                        :ARG2 (y / you))))
      :snt2 (a3 / and
            :op1 (p2 / person
                  :mod (c3 / country
                        :name (n2 / name
                              :op1 ""Kenya""))
                  :mod (m4 / maize))
            :op2 (p3 / person
                  :mod (w2 / wheat))
            :domain (c4 / conman-00
                  :ARG1 (w3 / we)
                  :time (a4 / always)
                  :condition (a5 / as-long-as
                        :op1 (b3 / business-01
                              :ARG0 (p4 / person
                                    :ARG0-of (l4 / lead-02
                                          :ARG1 y))
                              :ARG2 w3)))))"
"(m / multi-sentence
      :snt1 (f / feel-01
            :ARG0 (a / amr-unknown
                  :mod (e / else))
            :ARG1 (t / this)
            :time (s / shop-01
                  :ARG0 a
                  :ARG1 (s2 / supermarket
                        :poss a))
            :ARG1-of (r / request-confirmation-91))
      :snt2 (h / hyperlink-91
            :ARG1 (p / publication
                  :name (n / name
                        :op1 ""Walk""
                        :op2 ""Around""
                        :op3 ""ThingsDay""))
            :ARG3 (u / url-entity
                  :value ""https://t.co/RD3yTKVj6D""))
      :snt3 p
      :name n
      :op1 ""Coronavirus"")"
"(a / and
      :op1 (s / say-01
            :ARG0 (p / publication
                  :name (n / name
                        :op1 ""FAO""
                        :op2 ""Index-Retrospection""))
            :ARG1 (d / drop-01
                  :ARG1 (p2 / price-01
                        :ARG1 (f / food)
                        :mod (g / globe))
                  :ARG1-of (c / cause-01
                        :ARG0 (p3 / program
                              :name (n2 / name
                                    :op1 ""COVID-19"")))
                  :time (d2 / date-entity
                        :month 3)))
      :op2 (d3 / decline-01
            :ARG1 (p4 / price-01
                  :ARG1 f
                  :mod (g2 / globe))
            :ARG1-of (c2 / cause-01
                  :ARG0 (a2 / and
                        :op1 (c3 / contraction
                              :mod (s2 / side
                                    :mod (d4 / demand-01))
                              :ARG1-of (l / link-01
                                    :ARG2 (a3 / affect-01
                                          :ARG0 p3)))
                        :op2 (d5 / drop-01
                              :ARG1 (p5 / price-01
                                    :ARG1 (o / oil)
                                    :mod (g3 / globe))
                              :ARG1-of (c4 / cause-01
                                    :ARG0 c3
                                    :mod (m / most)))))
            :ARG1-of (s3 / sharp-02)
            :time (d6 / date-entity
                  :month 3)))"
"(s / say-01
      :ARG0 (c / company
            :name (n / name
                  :op1 ""Sainsbury""))
      :ARG1 (g / give-01
            :ARG0 (c2 / company)
            :ARG1 (h / hour
                  :ord (o / ordinal-entity
                        :value 1)
                  :duration-of (t / trade-01
                        :ARG0 (s2 / supermarket)))
            :ARG2 (p / person
                  :mod (e / elderly))
            :time (e2 / event
                  :name (n2 / name
                        :op1 ""Covid-19"")))
      :medium (u / url-entity
            :value ""https://t.co/t65E8s0NcR"")
      :ARG1-of s
      :ARG0 (c3 / company
            :name (n3 / name
                  :op1 ""UKChange"")))"
"(m / multi-sentence
      :snt1 (h / hear-01
            :ARG0 (ii / i)
            :ARG1 (s / story
                  :topic (o / obligate-01
                        :ARG1 (p / person
                              :ARG0-of (d / drive-01
                                    :ARG1 (s2 / supermarket))
                              :ARG0-of (d2 / deliver-01))
                        :ARG2 (c / call-02
                              :ARG0 p
                              :ARG1 (p2 / police)
                              :ARG1-of (c2 / cause-01
                                    :ARG0 (f / follow-01
                                          :ARG0 (p3 / person)
                                          :ARG1 p
                                          :purpose (s3 / see-01
                                                :ARG0 p3
                                                :ARG1 (t / thing
                                                      :location (w / wagon)))))))))
      :snt2 (o2 / obligate-01
            :ARG1 (p4 / person
                  :quant 1
                  :ARG0-of (t2 / think-01
                        :ARG1 (r / rob-01
                              :ARG1 p4
                              :location (r2 / road
                                    :name (n / name
                                          :op1 ""19"")
                                    :ARG1-of (n2 / near-02
                                          :ARG2 (c3 / city
                                                :name (n3 / name
                                                      :op1 ""Sunderland"")))))))
            :ARG2 (g / get-01
                  :ARG0 p4
                  :ARG1 (e / escort
                        :mod (p5 / police))))
      :snt3 (g2 / go-on-15
            :ARG1 (a / amr-unknown)
            :mod (f2 / fuck
                  :mode expressive)))"
"(s / say-01
      :ARG0 (ii / i)
      :ARG1 (a / and
            :op1 (w / wait-01
                  :ARG1 ii
                  :ARG2 (k / kick-in-02
                        :ARG1 (t / thing
                              :name (n / name
                                    :op1 ""Coronavirus""
                                    :op2 ""EI"")))
                  :purpose (s2 / splurge-01
                        :ARG0 ii
                        :ARG1 (a2 / aid-01
                              :ARG2 (m / masturbate-01))
                        :mod (j / just)))
            :op2 (p / possible-01
                  :ARG1 (a3 / and
                        :op1 (f / food
                              :quant (s3 / some))
                        :op2 (p2 / paper
                              :purpose (t2 / toilet)))
                  :time (t3 / then)))
      :ARG2 (p3 / person
            :name (n2 / name
                  :op1 ""esc_myriam"")))"
"(a / and
      :op1 (ii / insight
            :mod (s / some)
            :topic (t / thing
                  :manner-of (ii2 / impact-01
                        :ARG0 (o / organization
                              :name (n / name
                                    :op1 ""COVID-19""))
                        :ARG1 (r / retail-01
                              :location (c / country
                                    :name (n2 / name
                                          :op1 ""China""))))))
      :op2 (a2 / and
            :op1 (b / be-temporally-at-91
                  :ARG1 (s2 / sell-01
                        :ARG1 (r2 / retail-01))
                  :ARG2 (d / date-entity
                        :month 1)
                  :quant (p / percentage-entity
                        :value 20.5))
            :op2 (b2 / be-temporally-at-91
                  :ARG1 (b3 / back-02
                        :ARG1 (p2 / population
                              :ARG1-of (ii3 / include-91
                                    :ARG2 (p3 / population
                                          :poss c)
                                    :ARG3 (b4 / between
                                          :op1 (p4 / percentage-entity
                                                :value 80)
                                          :op2 (p5 / percentage-entity
                                                :value 85))))
                        :ARG2 (w / work-01
                              :ARG0 p2))
                  :ARG2 (d2 / date-entity
                        :month 3))
            :op3 (s3 / start-01
                  :ARG0 (t2 / traffic
                        :mod (f / foot)
                        :location (s4 / store))
                  :ARG1 (g / go-01
                        :ARG1 t2
                        :direction (u / up))
                  :time (a3 / after
                        :op1 (b5 / be-temporally-at-91
                              :ARG1 t2
                              :ARG2 (d3 / down-03
                                    :ARG1 t2
                                    :quant (p6 / percentage-entity
                                          :value 80))))))
      :op4 (h / hyperlink-91
            :ARG3 (u2 / url-entity
                  :value ""https://t.co/DFHZWk1qqn"")))"
"(m / multi-sentence
      :snt1 (d / difficult
            :domain (d2 / distance-01
                  :ARG2 (s / society)
                  :time (w / work-01
                        :ARG1 (s2 / supermarket)))
            :degree (e / extreme))
      :snt2 (a / and
            :op1 (c / come-01
                  :ARG1 (f / family)
                  :manner (a2 / and
                        :op1 (a3 / adult)
                        :op2 (k / kid)))
            :op2 (w2 / walk-01
                  :ARG0 (p / person)
                  :ARG2 (y / you)
                  :direction (r / right)
                  :time (h / have-03
                        :ARG0 p
                        :ARG1 (t / thing
                              :ARG1-of (q / question-01
                                    :ARG0 p))))
            :op3 (m2 / meet-03
                  :ARG0 (p2 / person
                        :ARG0-of (h2 / have-org-role-91
                              :ARG2 (s3 / staff)))
                  :mod (s4 / still))
            :op4 (g / glove
                  :ARG1-of (h3 / have-quant-91
                        :ARG3 (e2 / enough
                              :polarity -)
                        :ARG6 (g2 / go-02
                              :ARG1 g
                              :direction (a4 / around))))))"
"(a / amr-unknown
      :manner-of (m / minimize-01
            :ARG1 (r / risk-01
                  :ARG2 (c / catch-02
                        :ARG1 (p / person
                              :name (n / name
                                    :op1 ""COVID""
                                    :op2 19))
                        :location (s / supermarket)))))"
"(m / multi-sentence
      :snt1 (ii / impact-01
            :ARG0 (d / distance-01
                  :mod (s / social))
            :ARG1 (b / behave-01
                  :ARG0 (p / person
                        :ARG0-of (c / consume-01)))
            :ARG2-of (h / have-degree-91
                  :ARG1 d
                  :ARG3 (m2 / more)
                  :ARG4 (e / ever))
            :location (a / across
                  :op1 (ii2 / industry
                        :mod (e2 / entertainment)
                        :mod (e3 / especially))))
      :snt2 (p2 / predict-01
            :ARG0 (y / you)
            :ARG1 (w / witness-01
                  :ARG0 (w2 / we)
                  :ARG1 (p3 / practice-01
                        :ARG1 (a2 / amr-unknown)
                        :degree (f / further))
                  :time (c2 / change-01
                        :ARG1 (p4 / pattern-01
                              :ARG1 (b2 / behave-01
                                    :ARG0 p))))
            :polarity a2)
      :snt3 (p5 / publication-91
            :ARG1 (p6 / publication
                  :name (n / name
                        :op1 ""Crowd""
                        :op2 ""Insights""))
            :ARG4 p6
            :name (n2 / name
                  :op1 ""Netflix""))
      :ARG1-of (h2 / hyperlink-91
            :ARG3 (u / url-entity
                  :value ""https://t.co/wh93iCsAPk"")))"
"(m / multi-sentence
      :snt1 (c / contrast-01
            :ARG1 (h / hit-01
                  :ARG0 (p / price-01
                        :ARG1 (o / oil)
                        :ARG1-of (l / low-04))
                  :ARG1 (e / economy))
            :ARG2 (r / recommend-01
                  :ARG1 (h2 / help-01
                        :ARG0 (c2 / change-01
                              :ARG1-of (u / undertake-01
                                    :time (s / since
                                          :op1 (c3 / crisis
                                                :time (d / date-entity
                                                      :year 2014)))))
                        :ARG1 (w / weather-01
                              :ARG1 (d2 / difficulty
                                    :time (c4 / current))))))
      :snt2 (s2 / speak-01
            :ARG1 (r2 / reform-01
                  :ARG1-of (u2 / undertake-01
                        :time (s3 / since
                              :op1 (t / that)))
                  :ARG0-of (h3 / help-01
                        :ARG1 (m2 / mitigate-01
                              :ARG1 (ii / impact-01))))))"
"(m / multi-sentence
      :snt1 (p / possible-01
            :ARG1 (r / run-out-05
                  :ARG1 (s / space
                        :purpose (s2 / store-01
                              :ARG0 (w / world)
                              :ARG1 (o / oil)))
                  :ARG2 w
                  :time (s3 / soon)))
      :snt2 m
      :snt3 (p2 / possible-01
            :ARG1 (p3 / plunge-01
                  :ARG0 (t / that)
                  :ARG1 (p4 / price-01)
                  :ARG4 (b / below
                        :op1 (z / zero))))
      :snt4 (g / good-02
            :polarity -
